"";"title";"year";"length";"budget";"rating";"votes"
"237";"Apt Pupil";1998;112;14000000;6,4;6728
"238";"Aquanoids";2003;78;NA;2,2;46
"239";"Arachnid";2001;102;NA;3,6;444
"240";"Ararat";2002;115;NA;7,1;3594
"241";"Are We There Yet?";2005;95;32000000;3,5;1043
"242";"Arena, The";2001;92;NA;2,8;119
"243";"Arlington Road";1999;117;21500000;7,1;17189
"244";"Armageddon";1998;153;140000000;5,7;45330
"245";"Armstrong";1998;99;NA;3,2;75
"246";"Army of Darkness";1993;96;11000000;7,4;22118
"247";"Around the Bend";2004;85;NA;6;388
"248";"Around the Fire";1999;106;1200000;5,3;254
"249";"Around the World in 80 Days";2004;120;110000000;5,7;3887
"250";"Arranged Marriage";1996;88;NA;3,4;20
"251";"Arrival, The";1996;115;NA;6;4723
"252";"Art Heist";2004;98;NA;3,8;59
"253";"Art House";1998;93;NA;5,4;104
"254";"Art of Revenge";2003;88;NA;4,6;51
"255";"Arte de morir, El";2000;102;NA;6;305
"256";"Artificial Intelligence: AI";2001;146;90000000;6,8;36623
"257";"Artworks";2003;96;NA;6,1;68
"258";"Aryan Couple, The";2004;120;NA;7,4;13
"259";"As Good as It Gets";1997;139;50000000;7,7;47441
"260";"Ash Wednesday";2002;98;NA;5,5;625
"261";"Asoka";2001;169;NA;6,5;555
"262";"Assassination Tango";2002;114;NA;6,1;611
"263";"Assassination of Richard Nixon, The";2004;95;NA;7,1;1624
"264";"Assassins";1995;132;50000000;5,7;7354
"265";"Assault on Precinct 13";2005;109;20000000;6,3;2960
"266";"Associate, The";1996;114;NA;5,5;1341
"267";"Astoria";2000;103;NA;4,7;17
"268";"Astronaut's Wife, The";1999;109;34000000;4,8;7253
"269";"Asunder";1998;101;NA;4,3;69
"270";"Asylum Days";2001;100;NA;4,7;21
"271";"At First Sight";1999;128;40000000;5,7;3441
"272";"At Sachem Farm";1998;106;NA;5,9;164
"273";"Atanarjuat";2001;168;NA;7,3;1921
"274";"Atlantis: The Lost Empire";2001;95;90000000;6,4;6323
"275";"Attack of the 60 Foot Centerfold";1995;84;NA;3,5;175
"276";"Attic Expeditions, The";2001;100;1000000;5,4;384
"277";"Auberge espagnole, L'";2002;117;NA;7,3;4273
"278";"Auggie Rose";2000;109;NA;6,3;367
"279";"August";1996;94;NA;5,2;154
"280";"Aurora: Operation Intercept";1995;94;NA;2,7;80
"281";"Austin Powers in Goldmember";2002;94;63000000;6,2;22870
"282";"Austin Powers: International Man of Mystery";1997;94;17000000;7;33755
"283";"Austin Powers: The Spy Who Shagged Me";1999;95;33000000;6,5;37019
"284";"Auto Focus";2002;105;7000000;6,7;3276
"285";"Autumn in New York";2000;103;40000000;4,7;3731
"286";"Avalanche";1999;109;NA;3,7;126
"287";"Avalon";2001;106;8000000;6,8;2723
"288";"Avengers, The";1998;89;60000000;3,4;11499
"289";"Avenging Angelo";2002;96;NA;4,6;877
"290";"Aviator, The";2004;170;116000000;7,5;16217
"291";"Awakening of Gabriella, The";1999;93;NA;3,5;53
"292";"Awfully Big Adventure, An";1995;112;4000000;5,8;608
"293";"B*A*P*S";1997;91;NA;3,5;572
"294";"B. Monkey";1998;93;NA;6,1;833
"295";"BASEketball";1998;103;NA;6,1;7096
"296";"Ba wang bie ji";1993;171;NA;7,7;3098
"297";"Baby Boy";2001;130;16000000;6,2;1476
"298";"Baby Face Nelson";1995;93;NA;4,7;60
"299";"Baby Geniuses";1999;97;13000000;2,4;3142
"300";"Baby Take a Bow";1934;76;NA;5,8;98
"301";"Baby-Sitters Club, The";1995;90;NA;5;607
"302";"Babymother";1998;82;NA;3,1;29
"303";"Babysitter, The";1995;90;NA;4,1;879
"304";"Bachelor, The";1999;101;21000000;5;4183
"305";"BachelorMan";2003;87;NA;5,1;101
"306";"Back Lot Murders, The";2002;90;NA;3,7;119
"307";"Back in Business";1997;93;NA;4,1;93
"308";"Back of Beyond";1995;85;NA;5,2;67
"309";"Back to Even";1998;89;NA;3,9;40
"310";"Backdraft";1991;132;NA;6,6;12637
"311";"Backfire!";1995;93;NA;3,2;79
"312";"Backstage";2000;86;NA;5;57
"313";"Backyard Dogs";2000;96;NA;1,9;1304
"314";"Bad Boys";1995;118;23000000;6,4;15326
"315";"Bad Boys II";2003;145;130000000;6,1;13087
"316";"Bad City Blues";1999;96;NA;4,6;36
"317";"Bad Company";2002;116;70000000;5,4;6175
"318";"Bad Day On the Block";1997;104;NA;4,8;356
"319";"Bad Faith";2000;97;NA;4,7;41
"320";"Bad Karma";2002;92;NA;4;174
"321";"Bad Manners";1997;88;NA;6,3;140
"322";"Bad Moon";1996;80;7000000;4,4;519
"323";"Bad Santa";2003;98;18000000;7,2;11189
"324";"Badge, The";2002;103;6000000;6,3;740
"325";"Bai ga jai";1982;100;NA;7,7;278
"326";"Bait";2000;119;35000000;5,6;1884
"327";"Balance of Power";1996;92;NA;4,3;63
"328";"Ball in the House";2001;95;NA;5,8;63
"329";"Ballad of Jack and Rose, The";2005;112;1500000;6,2;269
"330";"Ballad of Ramblin' Jack, The";2000;112;NA;7,9;108
"331";"Ballistic: Ecks vs. Sever";2002;91;70000000;3,4;4556
"332";"Bamboozled";2000;135;10000000;6,3;2356
"333";"Bananas";1971;82;2000000;7,1;4252
"334";"Bandits";1997;110;NA;6,3;1065
"335";"Bandits";2001;123;80000000;6,7;12382
"336";"Bandolero!";1968;106;NA;6,3;598
"337";"Banger Sisters, The";2002;98;10000000;5,6;3189
"338";"Bangkok Dangerous";1999;105;NA;6,5;651
"339";"Baptists at Our Barbecue";2004;92;500000;5,9;62
"340";"Bar Girls";1994;93;NA;5,4;215
"341";"Baran";2001;94;NA;7,8;733
"342";"Barbershop";2002;102;12000000;6,6;4943
"343";"Barbershop 2: Back in Business";2004;106;18000000;5,7;1580
"344";"Bark!";2002;100;NA;4,3;198
"345";"Bartleby";2001;83;NA;6,1;434
"346";"Basic";2003;98;50000000;6,2;8370
"347";"Basic Instinct";1992;128;49000000;6,7;19520
"348";"Basil";1998;113;10000000;6,1;367
"349";"Basket, The";1999;105;3000000;6,3;200
"350";"Basketball Diaries, The";1995;102;NA;6,6;6280
"351";"Basquiat";1996;108;NA;6,6;3126
"352";"Bastard Out of Carolina";1996;97;NA;7,4;805
"353";"Batman & Robin";1997;125;110000000;3,6;28457
"354";"Batman Forever";1995;122;100000000;5,4;24025
"355";"Battle of Shaker Heights, The";2003;90;1000000;6;854
"356";"BattleQueen 2020";2001;95;NA;2,9;116
"357";"Battlefield Earth: A Saga of the Year 3000";2000;119;73000000;2,4;14970
"358";"Baxter, The";2005;91;NA;9,1;19
"359";"Be Cool";2005;118;53000000;5,5;4560
"360";"Beach, The";2000;119;50000000;5,8;15020
"361";"Bean";1997;90;22000000;5,4;9018
"362";"Beat";2000;93;NA;5,3;279
"363";"Beautician and the Beast, The";1997;118;NA;4,9;1213
"364";"Beautiful";2000;112;9000000;5,3;991
"365";"Beautiful Country, The";2004;137;6000000;6,9;115
"366";"Beautiful Creatures";2000;86;NA;5,8;706
"367";"Beautiful Girls";1996;112;NA;7,1;7452
"368";"Beautiful Joe";2000;98;NA;5,7;524
"369";"Beautiful Mind, A";2001;135;60000000;7,8;43291
"370";"Beautiful People";1999;107;NA;7;906
"371";"Beautiful Thing";1996;90;NA;7,5;4409
"372";"Beauty Shop";2005;104;NA;4,6;518
"373";"Beavis and Butt-Head Do America";1996;81;12000000;6,2;9491
"374";"Because of Winn-Dixie";2005;106;14000000;5,9;483
"375";"Bed of Roses";1996;87;NA;5,9;2049
"376";"Bedazzled";2000;93;48000000;5,9;11439
"377";"Beeper";2002;94;NA;5,3;39
"378";"Before Night Falls";2000;133;NA;7,2;3608
"379";"Before Sunset";2004;80;10000000;8,3;8789
"380";"Behind Enemy Lines";2001;106;40000000;6,1;10856
"381";"Behind the Red Door";2002;105;NA;7;336
"382";"Being Julia";2004;104;18000000;7,2;1671
"383";"Believer, The";2001;98;NA;7,3;3327
"384";"Bella Martha";2001;109;NA;7,4;1585
"385";"Belly";1998;96;10000000;4,5;1034
"386";"Belly of the Beast";2003;91;18000000;4,2;638
"387";"Beloved";1998;172;53000000;5,6;1934
"388";"Below";2002;105;NA;6,3;3175
"389";"Below Utopia";1997;83;NA;4,7;256
"390";"Bend It Like Beckham";2002;115;NA;7,3;14437
"391";"Beneath Loch Ness";2001;96;NA;2,7;233
"392";"Benji: Off the Leash!";2004;97;NA;4,7;93
"393";"Bent";1997;108;NA;6,8;854
"394";"Beowulf";1999;99;20000000;3,7;2058
"395";"Bereft";2004;98;NA;6;37
"396";"Besieged";1998;93;NA;6,7;995
"397";"Best Laid Plans";1999;92;7000000;6,3;1795
"398";"Best Man in Grass Creek";1999;88;NA;5,7;69
"399";"Best Thief in the World, The";2004;93;NA;2,7;113
"400";"Best Two Years, The";2003;112;NA;7;174
"401";"Best in Show";2000;90;6000000;7,5;11790
"402";"Best of the Best 3: No Turning Back";1995;90;NA;4,4;255
"403";"Best of the Best: Without Warning";1999;90;NA;4,3;96
"404";"Betaville";2001;99;NA;5,2;5
"405";"Better Luck Tomorrow";2002;98;250000;7,3;2697
"406";"Better Than Chocolate";1999;102;NA;6,3;1513
"407";"Better Than Sex";2000;80;NA;6,3;527
"408";"Better Way to Die, A";2000;97;NA;5,6;458
"409";"Between Strangers";2002;95;NA;6,1;204
"410";"Between the Lies";1997;90;NA;3;20
"411";"Beverly Hills Ninja";1997;88;NA;4,7;3468
"412";"Beware: Children at Play";1989;94;NA;3,2;125
"413";"Beyond Bedlam";1993;89;NA;3,3;165
"414";"Beyond Borders";2003;127;35000000;5,4;1905
"415";"Beyond Desire";1996;87;NA;4,6;92
"416";"Beyond Paradise";1998;105;NA;5;41
"417";"Beyond Rangoon";1995;100;23000000;6,4;1285
"418";"Beyond Re-Animator";2003;96;3000000;6,1;908
"419";"Beyond the City Limits";2001;91;NA;4,5;219
"420";"Beyond the Gates of Splendor";2005;96;NA;8,9;15
"421";"Beyond the Mat";1999;108;500000;7,3;2243
"422";"Beyond the Sea";2004;118;24000000;6,7;1051
"423";"Bhaji on the Beach";1993;100;NA;6,6;275
"424";"Bi xie lan tian";1998;96;NA;5,5;136
"425";"Bicentennial Man";1999;132;100000000;6,2;8925
"426";"Big Ain't Bad";2002;118;NA;5,9;15
"427";"Big Bad Love";2001;111;NA;5,6;189
"428";"Big Bounce, The";2004;88;50000000;4,7;2505
"429";"Big Brass Ring, The";1999;104;7000000;5,4;271
"430";"Big Bully";1996;90;15000000;4,2;781
"431";"Big Daddy";1999;93;34200000;5,9;18258
"432";"Big Eden";2000;117;NA;7,4;842
"433";"Big Empty, The";2003;94;NA;5,9;696
"434";"Big Fall, The";1996;90;NA;4,1;34
"435";"Big Fat Liar";2002;88;15000000;5,5;2453
"436";"Big Fish";2003;125;70000000;8,1;31525
"437";"Big Green, The";1995;100;NA;4,6;610
"438";"Big Hit, The";1998;91;13000000;5,7;6206
"439";"Big Jake";1971;110;NA;6,6;1139
"440";"Big Kahuna, The";1999;90;NA;6,6;3724
"441";"Big Lebowski, The";1998;117;15000000;8;50179
"442";"Big Momma's House";2000;98;30000000;4,7;7509
"443";"Big Night";1996;107;NA;7,3;4563
"444";"Big One, The";1997;91;NA;7,5;2395
"445";"Big Red One, The";1980;158;NA;7,1;1838
"446";"Big Squeeze, The";1996;98;NA;4,8;105
"447";"Big Tease, The";1999;86;4000000;6,1;670
"448";"Big Time";2004;29;NA;7,8;14
"449";"Big Trouble";2002;85;40000000;6,4;4088
"450";"Bigfoot: The Unforgettable Encounter";1994;88;NA;3,5;67
"451";"Bigger Than the Sky";2005;106;750000;7,3;32
"452";"Biggie and Tupac";2002;108;NA;6,9;465
"453";"Bike Squad, The";2002;79;NA;3;44
"454";"Biker Boyz";2003;110;NA;4;1580
"455";"Bikini Bistro";1995;85;NA;2,4;246
"456";"Bikini Drive-In";1995;86;NA;3,7;123
"457";"Bikini Summer III: South Beach Heat";1997;87;NA;3,3;55
"458";"Billabong Odyssey";2003;87;NA;5,8;81
"459";"Billy Elliot";2000;110;5000000;7,7;16725
"460";"Billy Madison";1995;89;NA;6,1;11626
"461";"Billy's Holiday";1995;92;NA;4,2;68
"462";"Billy's Hollywood Screen Kiss";1998;92;NA;6,5;1129
"463";"Bimbo Movie Bash";1997;90;NA;2,5;93
"464";"Bin-jip";2004;95;NA;8;886
"465";"Bio-Dome";1996;91;NA;3,7;4310
"466";"Bird of Prey";1995;105;NA;4,3;42
"467";"Birdcage, The";1996;117;NA;6,5;12429
"468";"Birth";2004;100;20000000;6;2600
"469";"Birthday Girl";2001;93;13000000;6,1;5340
"470";"Bizita Q";2001;84;NA;7,1;1327
"471";"Black Cadillac";2003;93;NA;5,7;346
"472";"Black Circle Boys";1997;101;NA;4;284
"473";"Black Day Blue Night";1995;93;NA;5,8;166
"474";"Black Dog";1998;89;NA;4,7;1374
"475";"Black Friday";2000;95;NA;3,2;59
"476";"Black Hawk Down";2001;142;90000000;7,6;32530
"477";"Black Knight";2001;95;50000000;4,1;3822
"478";"Black Magic, The";2002;91;NA;7,4;11
"479";"Black Out";1996;98;NA;4,5;70
"480";"Black Point";2001;100;NA;5,1;127
"481";"Black Rose of Harlem";1996;87;NA;3,8;23
"482";"Black Scorpion II: Aftershock";1997;85;NA;3,3;164
"483";"Black Sheep";1996;87;NA;5,2;3634
"484";"Black Thunder";1997;85;NA;3,5;96
"485";"Black and White";1999;98;10000000;5,2;1699
"486";"BlackMale";2000;90;NA;4,4;129
"487";"Blackball";2003;96;NA;5,1;405
"488";"Blackout, The";1997;98;NA;4,4;526
"489";"Blacktop";2000;100;3500000;4,7;192
"490";"Blackwater Trail";1996;97;NA;4,7;36
"491";"Blackwoods";2002;90;NA;5;179
"492";"Blade";1998;110;45000000;6,8;24372
"493";"Blade II";2002;108;55000000;6,6;17139
"494";"Blade: Trinity";2004;124;65000000;5,7;7439
"495";"Blair Witch Project, The";1999;86;35000;6,1;39814
"496";"Blast";1996;105;NA;4,4;156
"497";"Blast";2000;88;NA;5,6;57
"498";"Blast from the Past";1999;112;35000000;6,4;9483
"499";"Bleeders";1997;89;NA;3,8;486
"500";"Bless the Child";2000;107;40000000;5;3814
"501";"Blessed";2004;98;NA;4,6;187
"502";"Blessed Art Thou";2000;90;NA;6,5;26
"503";"Blind Faith";1998;122;NA;6,6;120
"504";"Blind Heat";2002;95;NA;2,9;20
"505";"Blind Horizon";2003;99;5100000;5,5;801
"506";"Blink of an Eye";1999;97;NA;4,7;51
"507";"Bliss";1997;103;NA;5,8;478
"508";"Blonde Heaven";1995;80;NA;3,4;70
"509";"Blondes Have More Guns";1995;90;NA;4,2;45
"510";"Blood & Donuts";1995;89;NA;5,2;234
"511";"Blood Dolls";1999;84;NA;3,4;241
"512";"Blood Feast 2: All U Can Eat";2002;99;NA;4,9;145
"513";"Blood Money";1996;90;NA;2,8;37
"514";"Blood Oranges, The";1997;93;NA;4;91
